meilleurs temps
S1	 n° 77	 25.030
S2	 n° 11	 25.020
S3	 n° 77	 25.023
tour	 n° 31	 80.120
resumé dernière course
n              S1             S2             S3             dernier tour   meilleur tour  nb             diff            etat
31             32.503         39.936         37.770         110.209000     80.120003      82             +0.000          0
10             43.770         35.130         26.928         99.613998      81.347000      72             +1.227          2
24             43.876         26.115         33.551         103.541992     81.712997      86             +0.366          0
22             31.982         34.129         34.958         114.863998     82.250000      11             +0.537          2
14             31.645         44.055         42.517         118.216995     83.179993      86             +0.930          0
3              35.874         32.674         61.966         130.514008     83.861000      82             +0.681          0
6              41.382         41.698         38.366         117.771996     84.384003      50             +0.523          2
1              27.608         33.741         28.191         89.540001      84.992004      85             +0.608          0
18             40.053         42.088         26.977         109.117996     85.459999      78             +0.468          0
16             41.428         44.734         35.203         122.263000     85.462997      78             +0.003          2
5              42.736         26.172         32.997         86.727005      85.843002      29             +0.380          2
11             44.379         31.461         37.141         112.980995     86.278999      84             +0.436          0
77             28.026         37.555         37.275         102.856003     86.959000      86             +0.680          0
47             36.971         42.186         59.157         138.313995     87.432999      81             +0.474          0
9              30.409         25.651         40.554         101.513992     87.921997      29             +0.489          2
44             28.491         29.564         29.979         124.931000     88.624001      11             +0.702          2
4              43.293         32.767         33.388         109.447998     89.210999      84             +0.587          0
23             31.763         32.210         28.737         143.738007     89.835007      42             +0.624          2
55             25.280         37.762         29.239         101.568001     101.568001     2              +11.733         2
63             26.473         28.654         35.535         106.277000     103.879997     3              +2.312          2
