meilleurs temps
S1	 n° 24	 25.013
S2	 n° 47	 25.046
S3	 n° 47	 25.033
tour	 n° 63	 77.679
resumé dernière course
n              S1             S2             S3             dernier tour   meilleur tour  nb             diff            etat
63             26.868         43.474         64.722         135.063995     77.679001      82             +0.000          0
9              32.816         37.960         37.435         108.210999     79.080994      81             +1.402          0
55             30.748         27.901         66.573         125.222000     79.232994      86             +0.152          0
18             35.944         26.856         33.068         108.421997     81.175995      29             +1.943          2
23             35.484         36.673         42.663         109.547997     81.377998      48             +0.202          2
6              28.139         39.649         44.278         122.159004     81.654999      41             +0.277          2
4              29.709         36.973         33.917         105.740005     84.390999      41             +2.736          2
16             40.136         29.284         40.126         109.545998     84.448997      80             +0.058          0
44             41.094         33.375         36.548         111.016998     85.152000      85             +0.703          0
24             35.150         26.130         27.087         88.366997      85.225998      81             +0.074          0
22             36.694         42.628         35.825         105.312004     85.585999      25             +0.360          2
11             27.794         34.592         35.816         128.838013     86.222000      43             +0.636          2
31             36.067         34.816         39.817         98.556000      86.690994      60             +0.469          2
3              31.279         34.298         43.556         129.320007     87.245003      41             +0.554          2
5              44.885         38.060         34.221         96.096001      87.339005      14             +0.094          2
47             41.972         37.422         40.904         120.297997     87.671997      82             +0.333          0
14             39.244         41.092         35.436         108.248001     90.362000      14             +2.690          2
77             25.484         30.036         33.807         112.231003     90.399002      25             +0.037          2
10             44.942         31.530         39.610         105.547005     92.423004      14             +2.024          2
1              44.427         30.300         31.108         100.487000     94.931999      14             +2.509          2
