meilleurs temps
S1	 n° 77	 25.030
S2	 n° 31	 25.018
S3	 n° 77	 25.006
tour	 n° 77	 78.115
resumé dernière course
n              S1             S2             S3             dernier tour   meilleur tour  nb             diff            etat
77             34.603         27.042         34.736         96.380997      78.115005      130            +0.000          0
31             30.462         41.694         39.780         111.935997     80.120003      127            +2.005          0
1              36.357         34.074         31.119         101.550003     80.257004      128            +0.137          0
10             43.770         35.130         26.928         99.613998      81.347000      72             +1.090          2
24             40.065         25.778         31.540         103.541992     81.712997      86             +0.366          2
22             31.982         34.129         34.958         114.863998     82.250000      11             +0.537          2
11             34.378         29.465         38.244         102.086998     83.033997      125            +0.784          0
14             42.076         25.232         38.115         121.734993     83.056999      101            +0.023          2
3              42.230         40.417         42.988         98.037003      83.861000      97             +0.804          2
6              41.382         41.698         38.366         117.771996     84.384003      50             +0.523          2
18             42.067         34.679         30.722         107.468002     85.459999      121            +1.076          0
16             41.428         44.734         35.203         122.263000     85.462997      78             +0.003          2
5              42.736         26.172         32.997         86.727005      85.843002      29             +0.380          2
4              34.794         37.981         39.422         112.196991     87.055000      128            +1.212          0
47             29.516         30.710         37.896         98.121994      87.432999      125            +0.378          0
9              30.409         25.651         40.554         101.513992     87.921997      29             +0.489          2
44             28.491         29.564         29.979         124.931000     88.624001      11             +0.702          2
23             31.763         32.210         28.737         143.738007     89.835007      42             +1.211          2
55             25.280         37.762         29.239         101.568001     101.568001     2              +11.733         2
63             26.473         28.654         35.535         106.277000     103.879997     3              +2.312          2
